population,epsilon,beta0,zone,weight,distance,peak_infectious,peak_day,attack_rate,n_waves,mean_alert_level
5,0.8,0.020977364311643824,sparse_periphery,0.004059861419859381,0.6956133378350325,38.0,190.0,0.964,12.0,2.032876712328767
5,0.8,0.03166591891067573,sparse_periphery,0.013262680906599324,0.7013009432309409,103.0,28.0,0.984,14.0,2.197260273972603
5,0.8,0.021525516215754215,sparse_periphery,0.003997540089058879,0.6484898664969859,58.0,11.0,0.916,10.0,2.213698630136986
5,0.8,0.01597664454587716,sparse_periphery,0.006847658169333235,0.5583408319077192,44.0,26.0,0.918,11.0,1.915068493150685
5,0.8,0.020581941249500777,sparse_periphery,0.0041240542114711525,0.4672497061667556,48.0,50.0,0.944,11.0,1.917808219178082
5,0.8,0.020752058059147073,sparse_periphery,0.004094407924874209,0.784570242943467,40.0,59.0,0.946,12.0,2.063013698630137
5,0.8,0.02678921426654978,sparse_periphery,0.00514959478398354,0.7726970181395003,91.0,35.0,0.966,12.0,2.0684931506849313
5,0.8,0.01955466563753019,sparse_periphery,0.004373837986274201,0.5271960337461592,68.0,11.0,0.932,12.0,1.9561643835616438
5,0.8,0.02095288779457841,sparse_periphery,0.004063358113563522,0.6548789337327646,72.0,17.0,0.964,9.0,1.8712328767123287
5,0.8,0.01875915530598771,sparse_periphery,0.004665401929564512,0.7902523968449016,61.0,47.0,0.94,8.0,1.926027397260274
5,0.8,0.027690372624630057,sparse_periphery,0.005802333014232959,0.7436876245322862,78.0,185.0,0.974,11.0,1.893150684931507
5,0.8,0.02006331466809469,sparse_periphery,0.004234269801099067,0.6288947713732131,73.0,22.0,0.958,9.0,2.1315068493150684
5,0.8,0.02088155050151806,sparse_periphery,0.004073903961444905,0.7967130333400674,79.0,20.0,0.94,9.0,2.1452054794520548
5,0.8,0.01721911455398745,sparse_periphery,0.005580212569681281,0.7422464445335452,39.0,176.0,0.87,7.0,1.6356164383561644
5,0.8,0.021382747561358734,sparse_periphery,0.004010853535572036,0.7811156557770369,59.0,23.0,0.92,9.0,2.063013698630137
5,0.8,0.023287784950278646,sparse_periphery,0.004002513425557894,0.7506523641911444,59.0,40.0,0.954,13.0,2.0767123287671234
5,0.8,0.01805322260156795,sparse_periphery,0.005016782296172182,0.7837798422818749,57.0,22.0,0.94,10.0,1.8027397260273972
5,0.8,0.025456548671323354,sparse_periphery,0.004495934102800571,0.6621380322116909,80.0,11.0,0.992,13.0,2.372602739726027
5,0.8,0.02436373889470034,sparse_periphery,0.00417158122438835,0.7806973666232508,55.0,67.0,0.972,13.0,2.1013698630136988
5,0.8,0.022780229635350733,sparse_periphery,0.00396826227293447,0.6958461183910639,43.0,52.0,0.95,14.0,2.147945205479452
5,0.8,0.018938499185729818,sparse_periphery,0.004590953106387643,0.5852577729906138,53.0,50.0,0.948,12.0,2.052054794520548
5,0.8,0.026008563943042993,sparse_periphery,0.004728125825933336,0.7007677757188575,56.0,20.0,0.984,14.0,2.2356164383561645
5,0.8,0.020317235662111886,sparse_periphery,0.004176478998637439,0.6181727331790948,54.0,49.0,0.94,12.0,1.9205479452054794
5,0.8,0.022009894034400505,sparse_periphery,0.003967503750025418,0.7189828111884016,60.0,16.0,0.938,10.0,2.0383561643835617
5,0.8,0.02148973508990358,sparse_periphery,0.0040006854149127555,0.6463328111822793,74.0,34.0,0.964,12.0,2.0547945205479454
5,0.8,0.01942169029067869,sparse_periphery,0.004415966147320701,0.6958482439334617,56.0,17.0,0.938,10.0,1.8876712328767122
5,0.8,0.02864907537909074,sparse_periphery,0.006759009959345268,0.6095657011763906,82.0,51.0,0.99,11.0,2.0904109589041098
5,0.8,0.01846717861737137,sparse_periphery,0.004798825696072858,0.7379416964928748,42.0,55.0,0.918,9.0,1.9589041095890412
5,0.8,0.023994005242359506,sparse_periphery,0.00409791021297704,0.6688837517121616,68.0,31.0,0.958,10.0,2.175342465753425
5,0.8,0.021966160206678492,sparse_periphery,0.003969256607044178,0.6388948423898932,63.0,23.0,0.962,11.0,2.0712328767123287
5,0.8,0.018096181302067856,sparse_periphery,0.004992464866163479,0.6702643649754202,59.0,61.0,0.882,10.0,1.7726027397260273
5,0.8,0.025236187573663894,sparse_periphery,0.004416773367998499,0.6554188192386511,48.0,262.0,0.972,10.0,2.041095890410959
5,0.8,0.020271668181397223,sparse_periphery,0.0041862981710917265,0.6510249799088108,56.0,333.0,0.956,10.0,2.1506849315068495
5,0.8,0.02145515486948713,sparse_periphery,0.004003846677439637,0.7197465822670797,78.0,24.0,0.952,10.0,2.0383561643835617
5,0.8,0.02248561315523008,sparse_periphery,0.0039608348135957705,0.7626221267069918,73.0,33.0,0.984,13.0,2.0191780821917806
5,0.8,0.0220886511498066,sparse_periphery,0.003964828627714534,0.6298409942680173,46.0,15.0,0.956,9.0,2.0904109589041098
5,0.8,0.018901123925178585,sparse_periphery,0.004606019869005046,0.6823288648590579,46.0,327.0,0.914,9.0,1.819178082191781
5,0.8,0.011965078803469122,dense_periphery,0.008646587333017928,0.6922720660817766,80.0,37.0,0.982,11.0,2.0493150684931507
5,0.8,0.022898169006136726,sparse_periphery,0.003973767914786597,0.7916599446185322,58.0,10.0,0.968,12.0,2.1013698630136988
5,0.8,0.01891192482698886,sparse_periphery,0.004601641951212801,0.734881606862721,53.0,42.0,0.94,7.0,1.9753424657534246
5,0.8,0.019499843761908314,sparse_periphery,0.004390908278981002,0.6124956294024352,53.0,37.0,0.938,11.0,2.0082191780821916
5,0.8,0.03194381023409277,sparse_periphery,0.014293025334097377,0.7922727526956618,95.0,11.0,0.982,11.0,1.9232876712328768
5,0.8,0.023520589461498567,sparse_periphery,0.004027637395065257,0.7935987463721549,65.0,50.0,0.96,10.0,2.0054794520547947
5,0.8,0.019298871091933213,sparse_periphery,0.004457104357132001,0.7653029055686973,58.0,40.0,0.958,11.0,2.117808219178082
5,0.8,0.028300473452859035,sparse_periphery,0.006373714424077839,0.7709212940346263,85.0,22.0,0.978,12.0,2.164383561643836
5,0.8,0.01706171681733138,sparse_periphery,0.00570875606757144,0.7409524335856703,53.0,64.0,0.926,9.0,1.9726027397260273
