group_id,group_label,scenario_id,zone_id,zone,beta0,run_id,policy_active,mean_peak_infectious,max_peak_infectious,n_waves,total_infections,total_dead,total_reinfections,epidemic_duration,peak_day,policy_effect,max_alert,first_alert_day,days_alert_0,days_alert_1,days_alert_2,days_alert_3,mean_compliance,mean_doctor_prob,mean_fatality_rate,mean_immunity_days,frac_public_transit,n_agents
1,b0.010_sparse,0,1,sparse_periphery,0.01,0,1,24.67,29.0,3,447,3,111,364,207,0.30093510909606114,3,2,63,152,122,28,0.6071,0.6661,0.0122,88.7,0.165,500
1,b0.010_sparse,0,1,sparse_periphery,0.01,1,0,31.86,57.0,7,733,10,281,364,36,0.12115505335844318,0,-1,365,0,0,0,0.6041,0.6774,0.01365,89.1,0.202,500
1,b0.010_sparse,0,1,sparse_periphery,0.01,1,1,28.0,33.0,4,543,2,150,364,36,0.12115505335844318,3,3,51,169,103,42,0.6058,0.679,0.01477,89.4,0.1988,500
1,b0.010_sparse,0,1,sparse_periphery,0.01,2,0,32.6,51.0,10,894,13,425,364,228,0.30981595092024544,0,-1,365,0,0,0,0.6153,0.6527,0.01206,90.6,0.2177,500
1,b0.010_sparse,0,1,sparse_periphery,0.01,2,1,22.5,27.0,4,547,4,158,364,13,0.30981595092024544,3,2,18,167,166,14,0.6137,0.6542,0.013,90.6,0.2198,500
1,b0.010_sparse,0,1,sparse_periphery,0.01,3,0,33.5,48.0,6,775,8,328,364,46,0.26865671641791045,0,-1,365,0,0,0,0.6058,0.6709,0.01338,90.6,0.2175,500
1,b0.010_sparse,0,1,sparse_periphery,0.01,3,1,24.5,28.0,4,456,4,123,364,35,0.26865671641791045,3,5,50,181,106,28,0.6045,0.6699,0.01406,90.6,0.2157,500
1,b0.010_sparse,0,1,sparse_periphery,0.01,4,0,26.0,36.0,8,692,5,276,364,30,0.019230769230769232,0,-1,365,0,0,0,0.6044,0.659,0.01273,89.0,0.1939,500
1,b0.010_sparse,0,1,sparse_periphery,0.01,4,1,25.5,30.0,4,508,2,160,364,68,0.019230769230769232,3,5,45,149,129,42,0.6041,0.6586,0.01296,89.1,0.1948,500
1,b0.010_sparse,0,1,sparse_periphery,0.01,5,0,26.75,33.0,8,737,3,299,364,298,0.056074766355140186,0,-1,365,0,0,0,0.6131,0.6671,0.01319,91.9,0.1811,500
1,b0.010_sparse,0,1,sparse_periphery,0.01,5,1,25.25,31.0,4,452,3,99,364,215,0.056074766355140186,3,4,67,195,75,28,0.6127,0.6671,0.01285,92.1,0.1791,500
1,b0.010_sparse,0,1,sparse_periphery,0.01,6,0,35.57,68.0,7,797,13,339,364,21,0.21281979195951645,0,-1,365,0,0,0,0.5986,0.669,0.01617,91.6,0.2012,500
1,b0.010_sparse,0,1,sparse_periphery,0.01,6,1,28.0,35.0,4,594,5,178,364,210,0.21281979195951645,3,2,35,117,171,42,0.597,0.6671,0.01702,91.4,0.2,500
1,b0.010_sparse,0,1,sparse_periphery,0.01,7,0,28.62,37.0,8,661,5,242,364,32,0.1823899371069183,0,-1,365,0,0,0,0.5931,0.6697,0.01574,91.0,0.2121,500
1,b0.010_sparse,0,1,sparse_periphery,0.01,7,1,23.4,28.0,5,489,7,146,364,255,0.1823899371069183,3,2,56,147,134,28,0.5949,0.6705,0.01568,91.1,0.215,500
1,b0.010_sparse,0,1,sparse_periphery,0.01,8,0,29.57,39.0,7,713,5,281,364,54,0.2137301318904295,0,-1,365,0,0,0,0.5946,0.6647,0.01737,92.2,0.1919,500
1,b0.010_sparse,0,1,sparse_periphery,0.01,8,1,23.25,25.0,4,472,7,131,364,137,0.2137301318904295,2,26,66,135,164,0,0.5916,0.6631,0.01777,92.1,0.1907,500
1,b0.010_sparse,0,1,sparse_periphery,0.01,9,0,31.62,39.0,8,763,7,309,364,54,0.2988614800759013,0,-1,365,0,0,0,0.5894,0.6614,0.01333,91.7,0.2353,500
1,b0.010_sparse,0,1,sparse_periphery,0.01,9,1,22.17,26.0,6,502,4,145,364,183,0.2988614800759013,3,4,53,156,142,14,0.5918,0.6622,0.01373,91.8,0.2319,500
1,b0.010_sparse,0,1,sparse_periphery,0.01,10,0,31.83,46.0,6,703,8,270,364,217,0.22243166823751173,0,-1,365,0,0,0,0.5819,0.6723,0.01411,90.9,0.2134,500
1,b0.010_sparse,0,1,sparse_periphery,0.01,10,1,24.75,30.0,4,490,3,141,364,143,0.22243166823751173,3,3,39,151,147,28,0.5834,0.6727,0.01478,90.6,0.2133,500
1,b0.010_sparse,0,1,sparse_periphery,0.01,11,0,32.4,48.0,5,668,9,230,364,150,0.31327160493827155,0,-1,365,0,0,0,0.5971,0.6657,0.0112,90.2,0.1976,500
1,b0.010_sparse,0,1,sparse_periphery,0.01,11,1,22.25,26.0,4,465,5,127,364,28,0.31327160493827155,3,5,38,167,124,36,0.5974,0.6662,0.01172,89.9,0.2,500
1,b0.010_sparse,0,1,sparse_periphery,0.01,12,0,29.44,49.0,9,800,8,341,364,64,0.15760869565217392,0,-1,365,0,0,0,0.5973,0.6515,0.01427,89.6,0.2114,500
1,b0.010_sparse,0,1,sparse_periphery,0.01,12,1,24.8,31.0,5,442,3,106,364,169,0.15760869565217392,3,3,60,167,96,42,0.5958,0.6512,0.01454,89.4,0.2093,500
1,b0.010_sparse,0,1,sparse_periphery,0.01,13,0,27.43,38.0,7,667,6,230,364,21,0.23441487422530075,0,-1,365,0,0,0,0.587,0.6638,0.01196,92.1,0.1943,500
1,b0.010_sparse,0,1,sparse_periphery,0.01,13,1,21.0,21.0,1,487,3,145,364,166,0.23441487422530075,2,10,24,144,197,0,0.588,0.6641,0.01212,92.0,0.1932,500
1,b0.010_sparse,0,1,sparse_periphery,0.01,14,0,32.33,48.0,9,774,8,346,364,34,0.08227652335292288,0,-1,365,0,0,0,0.609,0.6603,0.01515,90.8,0.2093,500
1,b0.010_sparse,0,1,sparse_periphery,0.01,14,1,29.67,37.0,3,421,5,109,364,167,0.08227652335292288,3,5,104,124,95,42,0.6101,0.661,0.01543,90.5,0.2061,500
1,b0.010_sparse,0,1,sparse_periphery,0.01,15,0,32.86,43.0,7,763,6,343,364,21,0.28484479610468655,0,-1,365,0,0,0,0.615,0.6788,0.01391,89.7,0.1923,500
1,b0.010_sparse,0,1,sparse_periphery,0.01,15,1,23.5,25.0,4,483,4,139,364,309,0.28484479610468655,3,3,36,184,103,42,0.6155,0.6783,0.01431,89.7,0.1915,500
1,b0.010_sparse,0,1,sparse_periphery,0.01,16,0,34.22,61.0,9,786,8,337,364,184,0.28901227352425485,0,-1,365,0,0,0,0.6122,0.6689,0.01393,90.4,0.185,500
1,b0.010_sparse,0,1,sparse_periphery,0.01,16,1,24.33,32.0,6,492,5,137,364,17,0.28901227352425485,3,4,74,133,130,28,0.6111,0.6686,0.01461,90.4,0.1859,500
1,b0.010_sparse,0,1,sparse_periphery,0.01,17,0,33.4,42.0,5,732,6,321,364,65,0.20149700598802386,0,-1,365,0,0,0,0.6034,0.6685,0.01203,90.8,0.2105,500
1,b0.010_sparse,0,1,sparse_periphery,0.01,17,1,26.67,38.0,3,501,0,147,364,30,0.20149700598802386,3,3,46,163,128,28,0.6039,0.6687,0.01266,91.0,0.21,500
1,b0.010_sparse,0,1,sparse_periphery,0.01,18,0,31.1,44.0,10,856,9,405,364,227,0.13183279742765278,0,-1,365,0,0,0,0.5987,0.6618,0.01303,90.5,0.2118,500
1,b0.010_sparse,0,1,sparse_periphery,0.01,18,1,27.0,38.0,3,516,1,155,364,239,0.13183279742765278,3,4,20,184,133,28,0.5971,0.6609,0.01377,90.5,0.2164,500
1,b0.010_sparse,0,1,sparse_periphery,0.01,19,0,31.71,40.0,7,678,5,245,364,36,0.10659098076316627,0,-1,365,0,0,0,0.6,0.6658,0.01264,90.6,0.198,500
1,b0.010_sparse,0,1,sparse_periphery,0.01,19,1,28.33,35.0,3,479,3,126,364,38,0.10659098076316627,3,4,55,164,104,42,0.6012,0.665,0.01273,90.6,0.1972,500
2,b0.015_dense,1,0,dense_periphery,0.015,0,0,70.5,168.0,8,1405,10,905,357,25,0.11744680851063831,0,-1,365,0,0,0,0.2727,0.4956,0.01343,89.5,0.4918,500
2,b0.015_dense,1,0,dense_periphery,0.015,0,1,62.22,87.0,9,1305,13,808,364,19,0.11744680851063831,3,3,119,26,57,163,0.2737,0.4961,0.01321,89.6,0.4928,500
